N,Title,Nchar
1208,Relapse Rate After Glucocorticoid-free Remission in Idiopathic Inflammatory Myopathies with Validation of the International Myositis Assessment & Clinical Studies Group (IMACS) Criteria for Remission and Relapse,211
1209,Prognostic Biomarkers and Radiological Features of Idiopathic Inflammatory Myopathy Associated Interstitial Lung Disease,120
1210,Anti-HMGCR Immune-mediated Necrotising Myopathy: Calculation of Incidence and Confirmation of Low Malignancy Risk in Two Independent Cohorts. a Retrospective Case Review,169
1211,Inclusion of All Myositis Specific Autoantibodies or Other Rashes Leads to Better Sensitivity but Lower Specificity of 2017 EULAR/ACR Myositis Classification Criteria for Dermatomyositis,186
1212,Brepocitinib Prevents Type-I Interferon Induced Damage in Cultured Myocytes and Endothelial Cells Indicating a Potential Role in the Treatment of Dermatomyositis,161
1213,Anti-HMGCR Autoantibody Levels in the Follow-up of Statin-induced Immune-mediated Necrotizing Myopathy: Multicentric Study of 24 Patients,137
1214,Self-Perceived Knowledge of Myositis Among Social Media Respondents- a Pilot Study on Twitter,93
1215,Rituximab in the Treatment of Interstitial Lung Disease Associated with the Antisynthetase Syndrome,99
1216,Machine Learning Approach for the Prediction of anti-MDA5 Positive Dermatomyositis Mortality,92
1217,Real-World Myositis Antibody Frequency and Patient Awareness,60
1218,Treatment Trajectories and Patient Outcomes in Idiopathic Inflammatory Myopathies,81
1219,"CoLchicine for Treatment of OsteoArthritis of the Knee—Updated Data from a Double-blind, Placebo-controlled Trial",113
1220,A Wearable-Sensor for Assessment of Gait and Chair Stand Patterns in People with Knee Osteoarthritis: Validation and Responsiveness to Treatment of a Potential Digital Biomarker,177
1221,Soluble Buffered Alendronate After Denosumab Discontinuation in Erosive Hand OA Patients,88
1222,Presence of Erosions Is Not a Risk Factor for the Development of Knee OA in a Hand OA Population: The Framingham OA Study,121
1223,"Post-hoc Analysis of Individual Questions from the Australian/Canadian Osteoarthritis Hand Index from a Randomized, Double-blind, Placebo-controlled Trial of Patients with Hand OA",179
1224,Development of a Method to Isolate Functional Mitochondria and Assess Their Functionality and Integration in Joint Tissues: In Vitro and in Vivo Models,151
1225,Evaluating Neuropathic and Nociplastic Pain in Patients with Hip and Knee Osteoarthritis,88
1226,Worsening of Pain as Perceived by Patients Is Not Reflected by an Annual Standardized Questionnaire,99
1227,"A Phase 1b, Randomized, Double-Blind, Placebo-Controlled, Multiple-Dosing, Ascending-Dose Study Evaluating the Safety, Tolerability and Pharmacokinetics of XG004 Applied Topically in Participants with Osteoarthritis of the Knee",227
1228,Autoimmune Thyroid Disease Associates with Symptomatic Hand Osteoarthritis in Older Persons in the Third National Health and Nutrition Examination Survey,153
1229,The Association of Peak Forces and Loading Rates During Walking with MRI-Based Structural Worsening of the Knee: The Multicenter Osteoarthritis Study,149
1230,Extent of Subregional Involvement of Subchondral Bone Marrow Lesions in Incident Knee OA Is Associated with Weight-Bearing Knee Pain,132
1231,Relationship of Depth-Specific Subchondral Bone Mineral Density to MRI Cartilage Worsening: The Multicenter Osteoarthritis Study,128
1232,Association of Long-Term Use of Non-Steroidal Anti-Inflammatory Drugs (NSAIDs) with Worsening Symptoms and Structural Changes of Knee Osteoarthritis: An Individual Patient Data Meta-Analysis of Cohort Studies,208
1233,"Efficacy and Safety of a Single Intra-Articular Injection of MM-II, a Novel Suspension of Large, Empty, Multilamellar Liposomes, in People with Painful Knee OA: Results of a 26-Week, Phase 2b, Placebo-Controlled, Double-Blind, Randomized Trial",243
1234,Bicycling Is Not Associated with New Knee Pain or Disease Progression over 48 Months in Those with Knee Osteoarthritis: Data from the Osteoarthritis Initiative,159
1235,Association of Dipeptidyl Peptidase-4 Inhibitor Use for Type 2 Diabetes and Incidence of OA in Taiwan,101
1236,Self-Reported Effectiveness of Cannabis for Arthritis-Related Pain,66
1237,Frailty and Its Impact on Patient Reported Outcomes in Polymyalgia Rheumatica,77
1238,Goal Concordant Patient-clinician Dyads Have Higher Odds of Communication Around Rheumatoid Arthritis Goals,107
1239,Vaccination Against SARS-CoV-2 in Inflammatory Arthritis and Factors Determining Its Decision,93
1240,Understanding Community Perspectives on Disease Management: A Social Media Analysis of Gout Care Strategies,107
1241,Universal Social Determinants of Health Screening in a Pediatric Rheumatology Specialty Clinic: A Feasibility Study,115
1242,Self-Perceptions of Aging and Physical Activity in Older Adults with Arthritis: Does General Health Matter?,107
1243,Cardiovascular Mortality of Acute Myocardial Infraction and Acute Heart Failure Hospitalization in Rheumatic Diseases Patients Evaluation from the 2016-2020 National Inpatient Sample (NIS) Database,197
1244,Investigating the Experiences of Patients Living with Antiphospholipid Antibodies: A Qualitative Study,102
1245,"The Role of Kinesiophobia on Ankylosing Spondylitis Disease Activity, Exercise Habits, and Quality of Life",106
1246,Assessing Patient-Reported Drug Efficacy and Adherence Among IL-23 Inhibitors for Psoriasis and Psoriatic Arthritis,115
1247,Description of Self-Efficacy for Managing Symptoms and Emotions in a Large Rheumatology Clinic Population,105
1248,Racial Disparities in Comorbidities and Perception of Physical Health in Systemic Lupus Erythematosus,101
1249,Using Patient-Reported Disease Activity in a Population-Based Cohort to Predict Systemic Lupus Erythematous Hospitalization and Emergency Room Visits,149
1250,Using Patient Self-Reported Measures to Predict All-Cause Hospitalization in a Population-Based Lupus Cohort,108
1251,Efficacy of Pharmacological Interventions: A Systematic Review Informing the 2023 EULAR Recommendations for the Management of Fatigue in People with Inflammatory Rheumatic and Musculoskeletal Diseases,200
1252,"“I Call It Zombie Hands and Feet, That’s Actually How I Found out I Had This Disease”: Disease Symptoms and Treatment Side Effects in a Diverse Sample of Patients with Early Limited Cutaneous and Diffuse Cutaneous Systemic Sclerosis",232
1253,"Sex Differences in Perceptions of Psoriatic Arthritis Disease Impact, Management, and Physician Interactions: Results from a Global Patient Survey",146
1254,"Discovering the Potential Application of Digital Biomarkers for Inflammatory Arthritis Patients, a Design Thinking Approach; Preliminary Results of the Patients’ Perspective",173
1255,Patient Experience of Brain Fog to Inform the Development of a De Novo Patient Reported Outcome (PRO) in Patients with Sjögren’s Disease,136
1256,Sjögren’s Patients’ Experiences and Content Validity of the Dry Eye Disease Symptom Questionnaire (DED-SQ),106
1257,Familial Clustering of Dysbiotic Oral and Fecal Microbiomes in Juvenile Dermatomyositis (JDM),93
1258,The Association Between Gingival Inflammation and Clinical Signs of Active Juvenile Dermatomyositis (JDM),105
1259,Extracorporeal Life Support for Childhood-Onset Systemic Lupus Erythematosus: An ELSO Registry Analysis,103
1260,Mental Health Screening Follow-Up in the Childhood-Onset Systemic Lupus Clinic,78
1261,Nailfold Video Capillaroscopy and Its Association with Autoantibodies and Rheumatic Diseases in Pediatric Patients,114
1262,Examining the Relationship Between Socioenvironmental Factors and Cognitive Functioning in Youth with Childhood-Onset Systemic Lupus Erythematosus,146
1263,Serious Infections Following Rituximab Administration in Children with Systemic Lupus Erythematosus,99
1264,Validation of the PEDiatric Behçet’s Disease Classification Criteria (PEDBD): An International Consensus-based Approach,119
1265,Longitudinal Assessment of Self-reported Executive Function in Youth with Childhood-Onset Lupus,95
1266,Differences in Nailfold Capillary Morphology Distinguish Juvenile Dermatomyositis Patients That Are Myositis-Specific Autoantibody Positive,139
1267,Successful Implementation of a Mental Health Screening Program for Youth with Juvenile Dermatomyositis,102
1268,"Improvement Across Organ System, Physician and Patient Reported Outcome Measures over a 36-time Period in the Juvenile Systemic Scleroderma Inception Cohort",156
1269,The Pattern of Medication Use Significantly Changed over 36 Months Observation Period. Result from the Juvenile Scleroderma Inception Cohort,140
1270,Cognitive Performance Score of the Pediatric Automated Neuropsychological Assessment Metrics Software in a Brazilian Cohort and Its Association with Disease Activity,165
1271,Apparent Diffusion Coefficient (ADC) from Diffusion Weighted Imaging (DWI) as an Objective Tool to Differentiate Normal Maturational Subchondral Signal from Inflammation at the Sacroiliac Joint in Youth,202
1272,Melanoma Differentiation-Associated Protein-5 in Juvenile Dermatomyositis: A Single Center Cohort,97
1273,The Associations Between Depressive Symptoms and Executive Function and Academic Outcomes in Children with SLE,110
1274,Prevalence of Celiac Disease Among Children and Adolescents with Systemic Lupus Erythematosus (SLE),99
1275,Clinical Manifestations and Management of Takayasu Arteritis: A Multicenter Pediatric Cohort,92
1276,Obvious Only in Retrospect: A Cohort of STING Associated Vasculopathy in Infancy (SAVI) Without Typical Rash,108
1277,Adverse Childhood Experiences in a Paediatric Systemic Lupus Erythematosus Cohort,81
1278,Agreement Between Parent- and Self-Report of Executive Function in Adolescents with Childhood-Onset Systemic Lupus Erythematosus,128
1279,Tubulointerstitial Inflammation Is Associated with End-Stage Renal Disease in Pediatric Lupus Nephritis: A Single Center Retrospective Cohort Study,147
1280,Characterizing Lupus in African American Children in Southern United States,75
1281,Evaluating a Diagnostic Algorithm for Childhood Sjögren’s Disease,65
1282,Assessment and Outcomes of 63 Cases of Juvenile Dermatomyositis-Associated Calcinosis,85
1283,"Pharmacokinetic, Pharmacodynamic, and Safety Profile of Subcutaneous Belimumab in Pediatric Patients with Systemic Lupus Erythematosus: Analysis of Data from a Multicenter, Open-Label Trial",189
1284,Thrombotic Manifestations in Pediatric Behçet Disease Patients: A Multicentre Comparative Study from EUROFEVER Registry,119
1285,Cross-Sectional Associations of Emotional Distress and Cardiovascular Health in Juvenile Lupus and Dermatomyositis,114
1286,Local Inflammatory Response Mediated by the Homing of Tfh17 Cells Is Involved in Tissue Injury of Immunoglobulin a Vasculitis,125
1287,Neurologic Manifestations of Pediatric Sjogren’s Disease Patients: Case Series from an Academic Children’s Hospital,115
1288,Physician Global Assessment of Disease Activity in Childhood-Onset Systemic Lupus Erythematosus – Does the Approach Matter?,123
1289,The Novel Florida Scoring System: A Machine Learning-Based Stratification of Clinical and Laboratory Features in Children with Suspected Sjögren’s Disease,154
1290,Outcome of Pediatric Lupus in South Asia: Data from Indian SLE Inception Cohort for Research (INSPIRE),102
1291,Clinical Characteristics and Disease Outcomes of anti-NXP2 Positive Juvenile Dermatomyositis: A Single Center Cohort,116
1292,Self-esteem and Body Image of Young People with Rheumatic Diseases: A Systematic Review,87
1293,The Psychological Experience of Work for People with Inflammatory Arthritis (IA),80
1294,“What Is My Risk Really?”: A Qualitative Exploration and Ideal-Type Analysis of Preventive Interventions Among Individuals at Risk of Rheumatoid Arthritis,154
1295,Voices Unheard: Unmasking the Hidden Challenges of Youth with Rheumatic Diseases,80
1296,Optimal Approaches for Reducing Depressive Symptoms in Rheumatoid Arthritis Patients Based on Psychological Interventions: A Systematic Review and Network Meta-analysis,168
1297,Network Analysis of Depression and Anxiety Symptoms in Chinese Rheumatoid Arthritis Patients,92
1298,“Somebody Who’s Been There and Can Understand the Challenges That You’re Going Through”: Participant Perspectives of a Resilience-Based Energy Management Online Intervention for Systemic Sclerosis with Peer Health Coaches,221
1299,Depression and Anxiety Risk Assessment in Patients with Rheumatic Diseases,74
1300,Nomination of Biomarkers for Self-testing Disease Activity in Rheumatoid Arthritis Using Patient Similarity Networks: A Pilot Study,131
1301,Changes in the Endocannabinoid Tone in Rheumatoid Arthritis and Osteoarthritis – Discovery of a Novel Target for the Treatment of Pain and Inflammation?,152
1302,The Anti-inflammatory Effect of High-density Lipoprotein Is Blunted by Delivery of Altered MicroRNA Cargo to Macrophages in Patients with Rheumatoid Arthritis,158
1303,Lower Herpes Zoster Rate of Tocilizumab and Tofacitinib in Patients Undergoing Treatment for Rheumatoid Arthritis,113
1304,Clinical Characteristics of Patients with Rheumatoid Arthritis (RA) Who Rate Their Global Assessment of Disease Activity Substantially Lower Than Their Physicians (Negative Discordance) Based on a Large RA Database in Japan: A Rare but Important Subgroup,254
1305,"The Impact of Sex, Serostatus, and Smoking on Risk for Rheumatoid Arthritis-associated Interstitial Lung Disease Subtypes",121
1306,Identification of Subclinical Atherosclerosis by Six Cardiovascular Risk Calculators in Rheumatoid Arthritis Patients,117
1307,Upregulation of IFNγ-Response Genes in Monocytes and T Cells Identified by Single-Cell Transcriptomics in Patients with Anti-CCP Antibody-Positive Rheumatoid Arthritis (RA),172
1308,Immunomodulators and Risk for Breakthrough COVID-19 After a Third SARS-CoV-2 mRNA Vaccine Among Patients with Rheumatoid Arthritis: A Cohort Study,146
1309,Long-term Follow-up of Treated-to-target RA and UA: Results of the BeSt and IMPROVED Studies,92
1310,"Rheumatoid Arthritis Patients, Achieving Low Disease Activity State or Remission, Still Demonstrate Significant Hand Disability, as Assessed by Functional Dexterity Test: A Disconnection Between CDAI and Functional Hand Assessment",230
1311,Prevalence of Frailty Among Individuals Living with Rheumatoid Arthritis: A Population-based Cohort Study,105
1312,Multimorbidity Burden Predicts Lower Likelihood of Remission in Patients with Rheumatoid Arthritis,98
1313,Relationship Between Quality of Life and the Region of the Affected Joints in Japanese Patients with Rheumatoid Arthritis: A Cross-sectional Study,146
1314,Nature and Severity of Activity Limitations According to the Health Assessment Questionnaire Disability Index in Patients with Rheumatoid Arthritis and Functional Disability,173
1315,"What Is the Nature of Functional Problems in People with Rheumatoid Arthritis and Severe Disability; An Analysis Using the International Classification of Functioning, Disability and Health as a Reference",204
1316,"Systemic Inflammation Is Associated with Incident Valvular Heart Disease in Patients with Rheumatoid Arthritis: A Multicenter, Prospective Cohort Study",151
1317,Risk of Cancer in Patients with Rheumatoid Arthritis Under Tocilizumab: Data from the French National Registry REGATE,117
1318,Proteomic Signature in Peripheral Blood and Sputum in Rheumatoid Arthritis Patients with and Without Lung Involvement,117
1319,Atherogenic Index of Plasma Identifies Patients with Rheumatoid Arthritis and Increased Carotid Intima-Media Thickness,118
1320,Baseline Data’s Role in Predicting All-cause Mortality in Chinese Rheumatoid Arthritis Patients: Findings from the China Registry of Rheumatoid Arthritis (CREDIT) Study,168
1321,PROMIS Symptom Clusters Predict Disease Activity in the First 6 Months in Newly Diagnosed RA Patients Starting MTX Therapy: Data from the Canadian Early Arthritis Cohort,169
1322,Impact of Body Mass Index (BMI) on Upper versus Lower Extremity Joints Assessed Using Clinical and Musculoskeletal Ultrasound Measures in Rheumatoid Arthritis Patients,167
1323,Impact of Body Mass Index (BMI) on Rheumatoid Arthritis Disease Activity and Musculoskeletal Ultrasound Measures,112
1324,Frailty Is Associated with Higher Risk of Readmission in Patients with Rheumatoid Arthritis,91
1325,Increases in Serum Levels of Tartrate-Resistant Acid Phosphatase 5b Reflected Radiographic Progression of Joint Damage in Treated Rheumatoid Arthritis,150
1326,Development of a Genetic Risk Score for Pain in Rheumatoid Arthritis,68
1327,Risk Factors for Major Adverse Cardiovascular Events and Malignancies in Patients with Rheumatoid Arthritis in a Real-World Setting in Japan,140
1328,"Active Rheumatoid Arthritis Patients Exhibit an Altered Serum Lipidomic Profile Directly Linked to Disease Activity, Which Is Reversed by Biologic and Targeted Synthetic DMARD",175
1329,Single Camera Hand Motion Capturing as a Digital Biomarker for Disease Activity in Rheumatoid Arthritis Using Computer Vision: The Proof-of-Concept MeFisto Study,161
1330,Patient Reported Outcome Measures for Rheumatoid Arthritis Disease Activity: Using Rasch Measurement Theory and Cognitive Interviewing to Achieve More Meaningful Measurement,173
1331,Having More Tender Than Swollen Joints Is Associated with Worse Functional Outcomes in Patients with Early RA in a Prospective Real-World Cohort,144
1332,Decline in Incidence of Extraarticular Manifestations of Rheumatoid Arthritis: A Population-Based Cohort Study,110
1333,COVID-19 Vaccination-related Delayed Adverse Events Among Patients with Rheumatoid Arthritis: Results from the COVAD Study,122
1334,Risk Factors Associated with Venous Thromboembolism in Rheumatoid Arthritis in Clinical Practice,96
1335,Rheumatoid Arthritis Patients Who Never Use a Biological During Their Disease Course Represent a Subgroup of Patients Likely to Achieve Sustained DMARD-free Remission,166
1336,Bone Marrow Edema in MRI Is More Associated with Rapid Radiographic Progression Than Clinically Relevant Radiographic Progression,129
1337,The Relationship Between Socioeconomic Factors and Persistent Active Rheumatoid Arthritis: Results from (NEIAA) a Large UK Cohort of Early Inflammatory Arthritis,161
1338,Biomarkers of Cardiovascular Risk in Patients with Rheumatoid Arthritis: Results from the TARGET Trial Biomarker Study,118
1339,Patient’s and Physician’s Evaluation of Global Assessment of Disease Activity over Follow up and Across Disease Activity Levels in Recent-Onset Rheumatoid Arthritis,164
1340,Window of Opportunity to Achieve Better Functional Outcomes in Patients with RA: Effectiveness of an Early Treatment Strategy,125
1341,Variations in Macrophage Cholesterol Loading over Time Are Linked to Dynamic Changes in Coronary Atherosclerotic Plaque in Rheumatoid Arthritis,143
1342,Statin Use Attenuates the Impact of Systemic Inflammation on Ischemic Cardiovascular Risk in Patients with Rheumatoid Arthritis,127
1343,Impact of Comorbidities on the First bDMARD Effectiveness and Retention Rate After 2 Years of Follow-up in Patients with Rheumatoid Arthritis. Data from the Spanish Registry BIOBADASER,184
1344,Certolizumab Pegol Shows Longer Retention Rate in Comparison with Other TNF Inhibitors in Patients with Rheumatoid Arthritis and High Rheumatoid Factor Titers at Baseline. a Multicentre and Retrospective Study,209
1345,Refractory RA Patients for Targeted Therapies in Real Life,58
1346,Comparison of Two Methotrexate Initiation Strategies in Rheumatoid Arthritis in Current Practice,96
1347,T Cell Subset Signatures Predicted Clinical Response to Etanercept-biosimilar Yisaipu in Patients with Rheumatoid Arthritis,123
1348,Uncovering Risk Factors for Adverse Events and Infections in Rheumatoid Arthritis and Rheumatoid Arthritis with Interstitial Lung Disease Under Biologics or Targeted Synthetic DMARDs: Insights from the KOBIO Registry,216
1349,Remotely Supervised Weight Loss and Exercise Training Improves Disease Activity and Patient Reported Outcomes in Older Patients with Rheumatoid Arthritis,153
1350,Safety Results from a Phase 1 Double-blind Randomized Clinical Trial of Allogeneic Mesenchymal Stem Cells in Early RA,117
1351,"Elevated Serum Adiponectin Levels During Olokizumab Treatment in Patients with Rheumatoid Arthritis Correlate with High-density Lipoprotein Lipid Profile Independently of Body Mass Index: Results from the Double-blind, Randomized Controlled Phase III Studies",258
1352,Influence of Rheumatoid Factor on Serum Drug Levels of TNF Inhibitors with Different Structures in Rheumatoid Arthritis,119
1353,Discontinuation of Biological Disease Modifying Drugs Due to Adverse Drug Reactions in an Inception Rheumatoid Arthritis Cohort,127
1354,Abatacept Modulates Both Global and Citrulline Specific T Cell Signatures: Results from Inhibition of Co-Simulation in Rheumatoid Arthritis Phase IV Trial,154
1355,Real World Data on Antifibrotics in Rheumatoid Arthritis-Interstitial Lung Disease. National Multicenter Study of 73 Patients,125
1356,Evaluation of Circulating Levels of Helper T and Innate Lymphoid Cells Subsets in a Cohort of bDMARDs-naïve Patients with Rheumatoid Arthritis Treated with Abatacept,165
1357,"Effect of Subcutaneous Local Anaesthesia Prior to Intra-Articular Injection: An Open Label, Paired-group, Randomized Controlled Trial",133
1358,"Efzofitimod, a First-in Class NRP2-targeting Immunomodulator, Ameliorates Rheumatoid Arthritis and Associated Lung Fibrosis in Preclinical Models",145
1359,Distinct Treatment Responses in Patients with Rheumatoid Arthritis Receiving Filgotinib 200 Mg over 12 Months: A Post Hoc Analysis of FINCH 1,141
1360,"Previous History of Serious Infection Is Associated with the Use of IL-6 Inhibitors in Rheumatoid Arthritis in Wales, UK",120
1361,Integrated Safety Analysis of Filgotinib in Patients with Moderate to Severe Active Rheumatoid Arthritis with a Maximum Exposure of 8.3 Years,141
1362,Safety and Efficacy of Upadacitinib in Patients with Rheumatoid Arthritis Refractory to Biologic DMARDs: Results Through Week 204 from the SELECT-CHOICE Study,158
1363,Effects of Long-Term Low Dose Glucocorticoid Treatment for Rheumatoid Arthritis on Body Weight and Blood Pressure: A Pooled Analysis of Individual Patient Data from Five Randomised Trials,187
1364,"Switching Biologics or Janus Kinase Inhibitors Is Effective in Difficult-to-treat Rheumatoid Arthritis, Regardless of Inflammation",130
1365,"R851, a Potent Second Generation IRAK1 and IRAK4 Inhibitor Suppresses IL-6 in Vitro and in Vivo for the Treatment of Rheumatoid Arthritis",137
1366,"Certolizumab-pegol, Abatacept, Tocilizumab or Active Conventional Therapy in Early Rheumatoid Arthritis: 48 Week Patient-reported Outcomes of the NORD-STAR Trial",161
1367,Long-term Effectiveness of a Lifestyle Program for Rheumatoid Arthritis: One-year Follow-up of the “Plants for Joints” Randomized Clinical Trial,144
1368,"Patient-Reported Outcomes, Disease Activity and Safety in 798 Patients with RA Treated with Filgotinib: Up to 1-Year Interim Results from a Prospective Observational Study (FILOSOPHY)",183
1369,Rheumatoid Arthritis-associated Lymphoproliferative Disorders: A Multi-center Analysis of Clinical Outcomes and Evaluation of Anti-rheumatic Drugs After LPD Onset,162
1370,Comparison of Malignancies and Serious Infections Between Etanercept Biosimilar and Bio-Originator Initiators: Population-Based Analyses,136
1371,Effectiveness of Longstanding Exercise Therapy versus Usual Care in People with Rheumatoid Arthritis and Severe Functional Limitations: A Randomized Controlled Trial (L-EXTRA),175
1372,Adalimumab and Etanercept Serum Levels in Rheumatoid Arthritis Patients with and Without a Disease Flare During Tapering,120
1373,Effect of Tofacitinib Therapy on Angiotensin Converting Enzyme Activity in Rheumatoid Arthritis,95
1374,The Advantage of Tight Control and Treat-to-Target in New-onset Rheumatoid Arthritis Patients in Daily Rheumatology Practice: Results from a Contemporary University Clinic Inception Cohort,188
1375,Neutrophil Activation and Formation of Neutrophil Extracellular Traps Are Associated with Response to Abatacept in Patients with Moderate to Severe Rheumatoid Arthritis,168
1376,Recent Trends in Treatment Patterns for Rheumatoid Arthritis in Response to Emerging Data,89
1377,Impact of Ultrasound on Physician Assessments of Patients with RA with Elevated Clinical Disease Activity Scores,112
1378,The Delivery of the Super-repressor IκBα by Exosomes Has the Potential to Alleviate Inflammation Associated with Rheumatoid Arthritis,133
1379,Cardiovascular (CV) and Malignancy Events in the Filgotinib Rheumatoid Arthritis (RA) Clinical Development Program up to 8.3 Years,130
1380,Efficacy and Safety of JAK Inhibitors in Difficult to Treat Rheumatoid Arthritis in Clinical Practice,101
1381,Maternal and Infant Outcomes Following Abatacept Exposure During Pregnancy,74
1382,"Semen Analysis of Patients with Psoriatic Arthritis, Axial Spondyloarthritis and Healthy Controls",97
1383,"Continuing Biologic DMARDs During Pregnancy in Women with Rheumatic Disease Was Not Associated with Increased Unfavorable Pregnancy Outcomes, Serious Infections, and Adverse Effects of Vaccination",196
1384,Reproductive Outcomes for Women with Vasculitis,47
1385,Paternal Effects of Anti-TNFs in Inflammatory Arthritis,55
1386,Identification of ACR Guidelines for SLE Pregnancy Care in the Electronic Health Record,87
1387,HPV Vaccination in Adolescent and Young Adult Patients Seen in an Academic Rheumatology Center,94
1388,Similar Delivery Outcomes in Pregnant Patients with and Without Takayasu Arteritis – A Nationwide Inpatient Database Study,122
1389,Sexual Dysfunction in Women with Systemic Lupus Erythematosus: A Cross-Sectional Multicentre Study,98
1390,The Impact of Pregnancy Intention on Depression and Quality of Life in Women with Lupus,87
1391,Delivering Care for Pregnant Women with Rheumatic and Musculoskeletal Diseases in Ireland: Current Challenges and Practices,123
1392,Reproductive History and HPV Vaccination Awareness Among Women with Systemic Lupus Erythematosus and Rheumatoid Arthritis,121
1393,Systemic Lupus Erythematosus and Assisted Reproductive Technology: A Case Series and Systematic Literature Review,113
1394,Experiences and Attitudes Related to Assisted Reproductive Technologies Among Women with Systemic Rheumatic Disease,115
1395,Association of Menstrual Cycles and Disease Flare Activity in Women with Systemic Lupus Erythematosus and Rheumatoid Arthritis,126
1396,Factors Associated with Medication-related Concerns in Women with Inflammatory Rheumatic Diseases – an Analysis of a Nationwide Pregnancy Cohort,144
1397,Effect of Zen/Doria Remission and Glucocorticoid Dosage on the Pregnancy Outcome of SLE: Retrospective Study in Two Japanese Tertiary Referral Centers,150
1398,Improving Reproductive Health Counseling for Pediatric Adolescent Females Prescribed Teratogenic DMARDs,103
1399,Plasma Neutrophil Extracellular Trap Remnant Levels Are Lower in Premenopausal Healthy Women Using Oral Contraceptive Pills,123
1400,Both Low and High 25(OH)-Vitamin D Levels Increase Adverse Pregnancy Outcomes in Systemic Lupus Erythematosus,109
1401,Extraglandular Involvement and Autoantibody Status as Risk Factors for Cardiovascular Disease in Primary Sjogren’s Syndrome (pSS): A 20 Year-follow up Study,156
1402,A Unique Cluster of Inflammatory Monocytes and Functionally Intact Regulatory T Cells in Rare Childhood Sjögren’s Disease,121
1403,Novel Autoantibodies Might Circumvent the Need for Labial Biopsy in a Subset of Seronegative Sjögren’s Disease Patients,119
1404,Development of the Sjögren’s-related Quality of Life (SRQoL) to Assess Health-related Quality of Life (HRQoL) in Sjögren’s,122
1405,"Treatment Patterns and Drivers of Biologic Prescriptions in Patients with Primary Sjögren’s Disease: Results from a Multinational, Real-World Survey",148
1406,Synthetic Glabridin Derivatives Improves Sjogren’s Syndrome by Inducing Salivary Secretion and Salivary Gland Regeneration,122
1407,Are Ultrasound Salivary Parenchymal Abnormalities More Severe in Primary Sjögren Patients with a Higher Disease Duration ? A Cross-sectional International Study,160
1408,Obinutuzumab Efficacy and Tolerance in Patients with Auto-Immune Diseases Immunized Against Rituximab,101
1409,Deltex1 May Involve the Function of T Regulatory Cells and Regulate the Disease Activity of Sjögren’s Syndrome,110
1410,Interstitial Lung Disease Is Frequent in Primary Sjögren’s Syndrome and Is Associated with Reduced Survival,107
1411,The Relative Burden of Fatigue Is Associated with High TSH/fT4 Ratio in Korean Patients with Primary Sjogren’s Syndrome,119
1412,SJOGRENSER Registry: Prospective Evaluation of a Cohort of Patients with Primary Sjögren’s Syndrome After 8 Years of Follow-up,126
1413,Characterization of Pulmonary Manifestations of Sjögren Syndrome: A Multicenter Retrospective Study,99
1414,The UCSD Shortness of Breath Questionnaire Is a Useful Tool for the Assessment of Dyspnea in Primary Sjögren’s Syndrome Patients with Interstitial Lung Disease: A Monocentric Cross-Sectional Study,197
1415,"Population Pharmacokinetic/Pharmacodynamic Modeling of Dazodalibep, a CD40L Antagonist, in Healthy Volunteers and Patients with Rheumatoid Arthritis and Sjogren’s Syndrome",171
1416,Synergistic Dose Effects of Extra X Chromosome in Development of Sjogren’s Syndrome in Klinefelter and Triple X Syndromes,121
1417,Fatigue and Associated Factors in Patients with Primary Sjogren’s Syndrome Compared to Secondary Sjogren’s Syndrome,115
1418,Efficacy of Tofacitinib Immunotherapy Suppresses Tfh and Tph Cells in Patients with Primary Sjögren’s Syndrome,110
1419,Long-term Association Between Physical Activity and Global Functioning in Patients with axSpA: Results of a 2 Year Prospective Study,132
1420,Functional Status by Sex and Socioeconomic Status in Axial Spondyloarthritis,76
1421,Where Are We with Implementing Axial Spondyloarthritis Treatment Recommendations and Disease Activity Monitoring in Clinical Practice – Results of an Online Survey Amongst Rheumatology Care Providers,199
1422,Opioid Prescription Rates in Patients with Ankylosing Spondylitis in the UK Between 2001-2020: An Electronic Health Records (EHR) Analysis,138
1423,Power Doppler Musculoskeletal Abnormalities in Patients with Psoriasis at High Risk of Progression to Psoriatic Arthritis,121
1424,"Pain Mechanisms in Psoriatic Arthritis: Differentiating Inflammation Related Pain in Enthesitis Using Ultrasound, in Comparison to Functional MRI",145
1425,Low Spinal Radiographic Progression After a Mean of 15 Years of Follow-up in a Cohort of Patients with Axial Spondyloarthritis,126
1426,Prediction of Low Disease Activity in Patients with Ankylosing Spondylitis Treated with Secukinumab in Real World – Data from a German Observational Study,154
1427,Rates of Remission in Patients with Axial Spondyloarthritis Treated in Tertiary Care,84
1428,Improving the Diagnostic Accuracy in Axial Spondyloarthritis: Interim Results of a Nationwide Telemedicine Project,114
1429,Fully Automated Detection of Active Sacroiliitis in Patients with Axial Spondyloarthritis: A Machine Learning-Based Analysis Magnetic Resonance Image,149
1430,"Comorbidities, Not Long-Term Use of Nonsteroidal Anti-Inflammatory Drugs, May Be Associated with Chronic Kidney Disease in Patients with Ankylosing Spondylitis: A Nationwide Population-Based Study",196
1431,Aerobic Capacity and Its Relation to Disease Characteristics and Lifestyle Habits in Patients with Axial Spondyloarthritis,122
